width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
160,0.6,0,5,2937,True,330.4,1,328,328,2.4,0,
160,0.6,0,6,2995,True,256.4,1,254,254,2.4,0,
160,0.6,0,7,3318,True,247.6,1,246,246,1.6,0,
160,0.6,0,8,3361,True,245.6,2,243,243,2.6,0,
160,0.6,0,9,3223,True,279.9,1,278,278,1.9,0,
160,0.6,0,10,3383,True,257.3,1,256,256,1.3,0,
160,0.6,0,11,3506,True,250.2,1,248,248,2.2,0,
160,0.6,0,12,3242,True,245.8,1,244,244,1.8,0,
160,0.6,0,13,3389,True,263.3,1,261,261,2.3,0,
160,0.6,0,14,3363,True,242.0,2,240,240,2.0,0,
160,0.6,0,15,3422,True,243.1,1,241,241,2.1,0,
160,0.6,0,16,3489,True,247.5,1,246,246,1.5,0,
160,0.6,0,17,3285,True,279.3,1,277,277,2.3,0,
160,0.6,0,18,3494,True,257.9,2,256,256,1.9,0,
160,0.6,0,19,3333,True,263.5,1,261,261,2.5,0,
160,0.6,0,20,3459,True,249.6,2,247,247,2.6,0,
160,0.6,0,21,3362,True,250.3,2,248,248,2.3,0,
160,0.6,0,22,3248,True,251.0,2,249,249,2.0,0,
160,0.6,0,23,3446,True,244.5,2,242,242,2.5,0,
160,0.6,0,24,3305,True,277.5,2,275,275,2.5,0,
160,0.6,0,25,3430,True,249.2,1,247,247,2.2,0,
160,0.6,0,26,3413,True,240.5,1,238,238,2.5,0,
160,0.6,0,27,3233,True,244.7,1,242,242,2.7,0,
160,0.6,0,28,3381,True,250.8,2,248,248,2.8,0,
160,0.6,0,29,3215,True,284.8,2,282,282,2.8,0,
160,0.6,0,30,3251,True,274.4,2,272,272,2.4,0,
160,0.6,0,31,3111,True,250.7,1,249,249,1.7,0,
160,0.6,0,32,3389,True,259.3,2,257,257,2.3,0,
160,0.6,0,33,3045,True,248.9,1,247,247,1.9,1,
160,0.6,0,34,3020,True,247.5,2,245,245,2.5,1,
160,0.6,0,35,2937,True,248.6,2,246,246,2.6,1,
160,0.6,0,36,2972,True,241.8,1,240,240,1.8,1,
160,0.6,0,37,2903,True,243.4,1,242,242,1.4,1,
160,0.6,0,38,2933,True,251.4,3,248,248,3.4,1,
160,0.6,0,39,2867,True,254.4,2,252,252,2.4,1,
160,0.6,0,40,2824,True,249.0,2,247,247,2.0,1,
160,0.6,0,41,2948,True,255.4,1,253,253,2.4,1,
160,0.6,0,42,2951,True,246.2,2,244,244,2.2,1,
160,0.6,0,43,2908,True,236.8,1,235,235,1.8,1,
160,0.6,0,44,2906,True,285.0,1,283,283,2.0,1,
160,0.6,0,45,2945,True,244.3,1,243,243,1.3,0,
160,0.6,0,46,2839,True,240.3,1,239,239,1.3,1,
160,0.6,0,47,2965,True,268.4,1,267,267,1.4,0,
160,0.6,0,48,2874,True,242.9,1,241,241,1.9,1,
160,0.6,0,49,2953,True,258.0,1,256,256,2.0,0,
160,0.6,0,50,3019,True,240.6,1,239,239,1.6,0,
160,0.6,0,51,3040,True,242.5,1,241,241,1.5,0,
