width,frame_idx,rpc_ms,decode_ms,gpu_ms,overhead_ms,num_boxes
160,5,241.15,0.25,12.29,228.61,0
160,6,252.7,0.2,12.77,239.73,0
160,7,251.43,0.17,10.85,240.41,0
160,8,256.55,0.23,11.57,244.75,0
160,9,257.95,0.23,12.25,245.47,0
160,10,250.25,0.19,10.41,239.65,0
160,11,243.15,0.19,12.02,230.94,0
160,12,239.47,0.25,12.29,226.93,0
160,13,272.24,0.21,11.92,260.11,0
160,14,244.21,0.18,10.73,233.3,0
160,15,265.18,0.17,11.0,254.01,0
160,16,247.49,0.17,10.9,236.42,0
160,17,264.51,0.17,10.8,253.54,0
160,18,253.38,0.17,10.56,242.65,0
160,19,251.98,0.17,10.75,241.06,0
160,20,251.76,0.19,10.72,240.85,0
160,21,240.99,0.17,10.83,229.99,0
160,22,246.03,0.23,11.91,233.89,0
160,23,248.3,0.2,12.5,235.6,0
160,24,249.81,0.24,14.17,235.4,0
160,25,312.9,0.22,14.84,297.84,0
160,26,251.81,0.23,11.8,239.78,0
160,27,246.11,0.21,10.56,235.34,0
160,28,245.62,0.23,11.57,233.82,0
160,29,240.71,0.19,12.64,227.88,0
160,30,288.96,0.24,11.98,276.74,0
160,31,241.46,0.24,11.58,229.64,0
160,32,254.27,0.19,12.65,241.43,0
160,33,324.21,0.21,11.94,312.06,0
160,34,240.1,0.19,10.67,229.24,0
320,5,387.4,0.41,10.16,376.83,1
320,6,268.86,0.56,13.6,254.7,1
320,7,247.01,0.39,10.9,235.72,1
320,8,261.71,0.47,12.41,248.83,1
320,9,249.27,0.44,10.66,238.17,1
320,10,236.03,0.44,13.39,222.2,1
320,11,250.67,0.4,11.01,239.26,1
320,12,247.19,0.46,13.33,233.4,1
320,13,281.03,0.39,11.01,269.63,1
320,14,242.18,0.44,13.35,228.39,1
320,15,246.34,0.44,12.81,233.09,1
320,16,249.23,0.4,12.75,236.08,1
320,17,419.45,0.38,11.51,407.56,1
320,18,317.7,0.38,11.54,305.78,1
320,19,242.79,0.39,11.49,230.91,1
320,20,255.28,0.39,11.57,243.32,1
320,21,338.08,0.39,11.62,326.07,1
320,22,260.61,0.39,11.08,249.14,1
320,23,317.84,0.42,11.54,305.88,1
320,24,265.6,0.38,11.36,253.86,1
320,25,249.24,0.39,11.78,237.07,1
320,26,242.62,0.4,11.25,230.97,1
320,27,261.8,0.39,11.41,250.0,1
320,28,265.61,0.38,11.36,253.87,1
320,29,291.84,0.4,11.89,279.55,1
320,30,249.2,0.36,11.15,237.69,1
320,31,258.91,0.45,10.39,248.07,1
320,32,260.03,0.44,10.09,249.5,1
320,33,241.97,0.39,11.24,230.34,1
320,34,257.28,0.39,12.31,244.58,1
640,5,248.3,1.23,13.04,234.03,1
640,6,257.72,1.13,10.74,245.85,1
640,7,269.48,1.12,9.99,258.37,1
640,8,254.8,1.12,11.24,242.44,1
640,9,249.83,1.23,12.14,236.46,1
640,10,246.65,1.26,10.73,234.66,1
640,11,256.79,1.12,10.82,244.85,1
640,12,246.06,1.11,9.81,235.14,1
640,13,247.98,1.07,9.58,237.33,1
640,14,298.68,1.09,9.83,287.76,1
640,15,244.02,1.07,9.73,233.22,1
640,16,245.28,1.03,9.49,234.76,1
640,17,255.42,1.06,9.53,244.83,1
640,18,241.83,1.06,9.48,231.29,1
640,19,246.91,1.13,11.03,234.75,1
640,20,244.4,1.12,11.67,231.61,1
640,21,247.86,1.12,11.18,235.56,1
640,22,259.67,1.11,9.81,248.75,1
640,23,252.81,1.11,10.7,241.0,1
640,24,269.21,1.13,11.29,256.79,1
640,25,242.26,1.12,10.72,230.42,1
640,26,257.7,1.2,11.46,245.04,1
640,27,245.99,1.24,11.08,233.67,1
640,28,248.17,1.12,10.84,236.21,1
640,29,247.54,1.17,10.42,235.95,1
640,30,274.13,1.19,11.13,261.81,1
640,31,258.3,1.12,10.93,246.25,1
640,32,237.47,1.11,10.77,225.59,1
640,33,279.72,1.27,11.4,267.05,1
640,34,296.23,1.16,9.76,285.31,1
